Rank,Company_Name,Headquarters,Founded_Year,CEO,Total_Employees,Revenue_USD_Millions,Market_Cap_USD_Billions,Primary_Product,Core_Technology,Industry_Vertical,Target_Market,Annual_RD_Spend_USD_Millions,Active_Users_Millions,AI_Model_Name,Model_Parameters_Billions,Training_Data_Petabytes,Cloud_Platform,API_Available,Open_Source_Model,Enterprise_Tier,Partnership_Count,Patent_Filed_2026,Awards_2026,Satisfaction_Score,Ethics_Rating,Sustainability_Score,Z_Score,Anomaly_Flag
1,OpenAI,San Francisco USA,2015,Sam Altman,3800,5200,180.0,GPT-5 Turbo,Transformer Architecture,NLP & Generative AI,Enterprise & Consumer,2800,350,GPT-5 Turbo,2.5,850.0,Azure OpenAI,Yes,Partial,Pro/Enterprise/Team,145,89,42,4.5,High,8.2,0.19365793860449315,Normal
2,Google DeepMind,London UK,2010,Demis Hassabis,5200,3800,25.0,Gemini Ultra 2.0,Multi-modal Transformer,AI Research & Products,Enterprise & Research,4500,280,Gemini Ultra 2.0,3.2,1200.0,Google Cloud,Yes,Partial,Business/Enterprise,198,156,58,4.4,Very High,8.8,0.8856568784418833,Normal
3,Anthropic,San Francisco USA,2021,Dario Amodei,2200,1800,45.0,Claude 4 Opus,Constitutional AI,NLP & AI Safety,Enterprise & Consumer,1200,120,Claude 4 Opus,2.8,650.0,AWS Claude,Yes,No,Pro/Team/Enterprise,85,67,35,4.6,Very High,7.9,-0.4576351812424623,Normal
4,Meta AI,Menlo Park USA,2021,Yann LeCun (Chief),6500,2800,1500.0,Llama 4,Mixture of Experts,Open Source AI,Developer & Enterprise,3200,850,Llama 4 405B,0.405,420.0,Meta AI,Yes,Yes,Open + Enterprise,245,234,48,4.2,High,8.5,0.35648121856623205,Normal
5,NVIDIA AI,Santa Clara USA,1993,Jensen Huang,29500,61000,3200.0,NVIDIA NIM,Hardware + Software Stack,AI Infrastructure,Enterprise & Developer,8500,120,NIM Microservices,1.45,,NVIDIA DGX Cloud,Yes,Yes,Enterprise/Developer,520,412,62,4.3,High,9.1,2.513889678059272,High Spender Anomaly
6,Microsoft AI,Redmond USA,2023,Satya Nadella (Lead),8500,15000,3100.0,Copilot Studio,LLM + Tool Integration,Enterprise Productivity,Enterprise & Consumer,6200,450,Copilot GPT-4o,1.8,580.0,Azure AI,Yes,No,Microsoft 365/Business,380,298,55,4.1,High,8.6,1.5776558182792735,High Spender Anomaly
7,Stability AI,London UK,2019,Emad Mostaque,680,320,5.0,Stable Diffusion 4.0,Latent Diffusion,Generative Media,Creator & Enterprise,450,180,Stable Diffusion 4,1.45,280.0,AWS/RunPod,Yes,Yes,Enterprise/Creator,65,45,22,4.0,Medium,7.5,-0.7629288311707226,Normal
8,Mistral AI,Paris France,2023,Arthur Mensch,520,480,12.0,Mistral Large 3,Sliding Window Attention,Efficient LLM,Enterprise & Developer,380,95,Mistral Large 3,1.2,180.0,Mistral Cloud,Yes,Partial,Business/Enterprise,48,34,18,4.3,High,8.0,-0.791422905164027,Normal
9,Cohere,Toronto Canada,2019,Aidan Gomez,480,350,8.0,Command R+,Retrieval Augmented Gen,Enterprise NLP,Enterprise & Developer,280,65,Command R+,1.4,220.0,Azure/Cohere,Yes,Partial,Enterprise/Developer,42,28,15,4.2,High,7.8,-0.8321287251544617,Normal
10,Inflection AI,Palo Alto USA,2022,Mustafa Suleyman,320,180,3.0,Pi 3.0,Personalization AI,Consumer AI Assistant,Consumer & Enterprise,220,45,Pi 3.0,0.8,120.0,Azure,Yes,No,Personal/Enterprise,32,22,12,4.4,High,8.2,-0.8565522171487225,Normal
